asset,feature,horizon_days,n,pearson_r,spearman_r,naive_p,nw_p,nw_q
BTC,HashRate_30d_MA,7,2308,-0.06392507222524287,-0.079209204477242,0.00013938027578926286,0.13673717159222926,0.36583669212645087
BTC,HashRate_vs_MA30,7,2308,0.011551187217679247,0.024385471497555995,0.24157557063706925,0.6797094738739228,0.7641178399105537
BTC,AdrActCnt,14,2330,0.06918528067237856,0.0391557476650959,0.05878989474747968,0.3003580529039632,0.5467220913859736
BTC,CapMVRVCur,14,2330,0.02390425413080681,-0.031082439690086887,0.13363799480458344,0.7427984831138946,0.7987088565117757
BTC,HashRate,14,2330,-0.08731554858656948,-0.0942170396082856,5.224634686993784e-06,0.1373920142721267,0.36583669212645087
BTC,FlowInExUSD,14,2330,-0.0977310808874009,-0.11574753868062533,2.1069134788814048e-08,0.03575416764953697,0.17570619530629597
BTC,FlowOutExUSD,14,2330,-0.08812579924400442,-0.1130377544196955,4.4761616511075266e-08,0.05212191382321093,0.22897402459245086
BTC,IssTotUSD,14,2330,-0.1860426754224208,-0.19131205530828133,1.2096428390223683e-20,0.0011074576021360704,0.009797893212930456
BTC,FeeTotNtv,14,2330,0.09922449654292241,0.1363336101850486,3.890798086407401e-11,0.08855982461401384,0.30839450846274813
BTC,NVT_Tx_Basis,14,2303,-0.18971285121591655,-0.20668340023727846,1.2242871721610025e-23,0.0010157328501560954,0.009797893212930456
BTC,Activity_Velocity,14,2330,-0.04796205972320096,0.016292588612488664,0.43182378062986476,0.3674148448038491,0.5506139987057588
BTC,FearGreedValue,14,2329,0.10643687390139997,0.045869873124118665,0.02685329686142094,0.13611445642063938,0.36583669212645087
BTC,Tx_Intensity,14,2330,-0.04796205972320096,0.016292588612488664,0.43182378062986476,0.3674148448038491,0.5506139987057588
BTC,Velocity_Momentum,14,2323,-0.032187519903680864,-0.021587478069293363,0.2983288078762326,0.13825223830360062,0.36583669212645087
BTC,Log_Return,14,2329,0.02038196964730969,0.01427755460346703,0.49101465590076376,0.47840173240328254,0.644845280634089
BTC,Tx_Intensity_lag_1d,14,2329,-0.04538690300250851,0.01688780019365957,0.41528930359134103,0.3957339619523953,0.5768325547102711
BTC,AdrActCnt_lag_1d,14,2329,0.06267655846839117,0.02992059795163332,0.14887756436863367,0.3506045532945421,0.5506139987057588
BTC,NVT_Tx_Basis_lag_1d,14,2302,-0.1906888068030602,-0.20635797335668485,1.4731593831206195e-23,0.0009740681345368928,0.009797893212930456
BTC,Velocity_Momentum_lag_1d,14,2322,-0.026148088811740567,-0.011349629540750595,0.5846334698804009,0.24707037369628693,0.49782014427979826
BTC,Tx_Intensity_lag_3d,14,2327,-0.042373818068151915,0.014872463706757622,0.4733205518412598,0.4276229422921698,0.5931544038246227
BTC,AdrActCnt_lag_3d,14,2327,0.06030532824872082,0.0352297087305096,0.08930791890598488,0.3684796473983134,0.5506139987057588
BTC,NVT_Tx_Basis_lag_3d,14,2300,-0.19265443567205418,-0.20702167306236935,1.1039519363501537e-23,0.0008948989121795105,0.009797893212930456
BTC,Velocity_Momentum_lag_3d,14,2320,-0.021752754025523003,-0.012144283809967037,0.5587814100657266,0.34141495110253806,0.5506139987057588
BTC,Tx_Intensity_lag_7d,14,2323,-0.034154783947300565,0.01829440891667433,0.37813158562675897,0.5350378235130642,0.6867649674943809
BTC,AdrActCnt_lag_7d,14,2323,0.0594358055572021,0.02558757942255623,0.21765200455615813,0.3539152798340346,0.5506139987057588
BTC,NVT_Tx_Basis_lag_7d,14,2296,-0.1946670872661718,-0.20796184017565036,7.522209067134219e-24,0.0008064581427534626,0.009797893212930456
BTC,Velocity_Momentum_lag_7d,14,2316,-0.0312830095992006,-0.030908531425442247,0.13700944967722423,0.130796313537347,0.36583669212645087
BTC,Tx_Intensity_lag_14d,14,2316,-0.018896056060976815,0.02897024080338785,0.16339976213988858,0.7428821548409712,0.7987088565117757
BTC,AdrActCnt_lag_14d,14,2316,0.06686816130544308,0.025165210280757647,0.22604507801422813,0.2688745018053591,0.5196226327024918
BTC,NVT_Tx_Basis_lag_14d,14,2289,-0.1964364717767349,-0.20924813238122,4.6018918073027485e-24,0.0006786954147677418,0.009797893212930456
BTC,Velocity_Momentum_lag_14d,14,2309,-0.018459621000555322,-0.022072095778705357,0.2890698169187133,0.40851478230101856,0.5883226359417189
BTC,Tx_Intensity_lag_30d,14,2300,-0.018415647510429744,0.03305759480829029,0.11297590441660592,0.7434303895170549,0.7987088565117757
BTC,AdrActCnt_lag_30d,14,2300,0.056134668511416234,0.011939892299254623,0.5671009791184735,0.41073060292706143,0.5883226359417189
BTC,NVT_Tx_Basis_lag_30d,14,2273,-0.22586786520663715,-0.24111884575634715,1.9994277244690737e-31,8.789025439277403e-05,0.005332815799588859
BTC,Velocity_Momentum_lag_30d,14,2293,-0.012496286310613853,0.003689422227908282,0.8598435816113755,0.5702268136985815,0.7056044025622736
BTC,Price_Dist_lag_30d,14,2300,0.11696566527815942,0.1252128465512901,1.6862961807433318e-09,0.06239760332980748,0.2610318060811984
BTC,Price_Dist_lag_90d,14,2240,0.14697712696376802,0.07399173247147547,0.0004569880585720078,0.08534970797715667,0.30839450846274813
BTC,Price_Dist_lag_182d,14,2148,0.038367207295628966,0.018462339009030344,0.3924182998149162,0.6247135041295502,0.7164622156589915
BTC,Price_vs_MA7,14,2324,0.06567172040000413,0.05441769036108011,0.008693068985751338,0.17890111375392448,0.41582421034695954
BTC,Volatility_30d,14,2300,0.08870604506339869,0.03061592326922195,0.14214932313077588,0.1418112897729758,0.36729634453140664
BTC,ExchangeNetFlow,14,2330,-0.022779016870624762,-0.007624690192500063,0.7129834396363985,0.24891007213989913,0.49782014427979826
BTC,ExchangeNetFlow_7d_MA,14,2324,-0.038238645882763975,-0.05764787305447552,0.0054375856900313446,0.34220825177618464,0.5506139987057588
BTC,Puell_Multiple,14,1966,0.043246278025062035,0.029148930452415935,0.1963902602035304,0.60258682428816,0.7147926467418173
BTC,HashRate_30d_MA,14,2301,-0.08625733896680958,-0.08521302090723318,4.262212305445812e-05,0.1572038637866248,0.38423816390132004
BTC,HashRate_vs_MA30,14,2301,0.019408862419021632,0.035176234022797875,0.09161012058878518,0.5515904704436734,0.6912942479614467
BTC,AdrActCnt,30,2314,0.09180572325766809,0.059387915823201534,0.004266182321206532,0.30519651775155743,0.5467220913859736
BTC,CapMVRVCur,30,2314,0.020478427815832367,-0.038622223318865945,0.06322943376914097,0.8347815251708425,0.8640891475861532
BTC,HashRate,30,2314,-0.12144110792362356,-0.12149637056912999,4.5446497051178255e-09,0.1585438196887119,0.38423816390132004
BTC,FlowInExUSD,30,2314,-0.15702138503884686,-0.16508649515438154,1.3284015240570213e-15,0.01591877937844556,0.09441482941698746
BTC,FlowOutExUSD,30,2314,-0.15364353691715005,-0.1633880403511267,2.6034050776181358e-15,0.01755619125156499,0.09900538034305925
BTC,IssTotUSD,30,2314,-0.26628361806869716,-0.25943019481915214,6.650796378073591e-37,0.0011976857152749007,0.009797893212930456
BTC,FeeTotNtv,30,2314,0.1214071614317875,0.21980873844309087,1.0278627224394057e-26,0.1430747388581642,0.36729634453140664
BTC,NVT_Tx_Basis,30,2287,-0.27093353141756366,-0.2793964472464828,2.7894768742257543e-42,0.001491217447519501,0.010687058373889759
BTC,Activity_Velocity,30,2314,-0.041365909454221576,0.034707509346069025,0.0950831666961575,0.6000331129635501,0.7147926467418173
BTC,FearGreedValue,30,2313,0.13563931587762176,0.06755289195034946,0.0011507135105325212,0.1901797261669258,0.43614550534281654
BTC,Tx_Intensity,30,2314,-0.041365909454221576,0.034707509346069025,0.0950831666961575,0.6000331129635501,0.7147926467418173
