time,asset,PriceUSD,CapMrktCurUSD,TxCnt,AdrActCnt,CapMVRVCur,HashRate,FlowInExUSD,FlowOutExUSD,IssTotUSD,FeeTotNtv,NVT_Tx_Basis,Activity_Velocity,FearGreedValue
2025-04-29,btc,94102.8403024547,1868668111983.0476,466125.0,738376.0,2.1164915940420426,894398140.4614742,2449932351.517545,2598622352.5685143,42934420.88799496,6.24269494,4460287.688633924,0.6312840612370932,60.0
2025-04-30,btc,94236.7325143191,1871365778928.626,344716.0,797218.0,2.117664419217392,808633937.2660565,2226325840.727309,2297364457.612758,38872652.16215663,6.58453638,4489653.769246633,0.4323986663622748,56.0
2025-05-01,btc,96411.7422635885,1914598090283.48,330132.0,783416.0,2.1635056908519745,827011978.2875143,2681427503.7102785,2746059086.434789,40673703.7674514,5.44203945,4619131.711139876,0.42140063516701215,53.0
2025-05-02,btc,96842.1021057861,1923192534185.8323,380180.0,931165.0,2.1700257371132774,974036332.9235594,2795378810.6359615,3638134631.9568167,48118419.483812466,5.59466532,4656965.507468681,0.40828424607883673,67.0
2025-05-03,btc,95943.61135301,1905398528848.1636,389316.0,686500.0,2.148827641148182,998934428.3048719,1421064715.1098862,1330493560.0057397,49171100.81841762,3.90478799,4576204.135936522,0.5671026948288419,65.0
2025-05-04,btc,94377.7899196376,1874342989258.6758,345861.0,613491.0,2.1136160468529854,823060872.6106743,1203164193.107616,1179330731.0358512,40995352.496342584,3.3828386,4473649.12789889,0.5637588815483846,64.0
2025-05-05,btc,94853.7298594389,1883847029957.3733,401820.0,758965.0,2.1198315170018898,1036227716.8248533,2343790094.1032243,2471489841.539977,51873133.51688065,5.18166695,4463665.236410297,0.5294315284631044,52.0
2025-05-06,btc,96677.9245029223,1920118226994.4229,335143.0,787857.0,2.1566030190508583,817139566.6454616,2248775793.226664,2870459000.6301465,41692354.94188524,5.29476865,4559555.901144113,0.4253855712394508,59.0
2025-05-07,btc,97137.3757086499,1929289214331.7031,343041.0,846613.0,2.1641775871229822,894116484.5065093,3197073525.3690796,3620888317.5813584,45836699.16251917,6.6552108,4572430.528619891,0.4051922188768658,67.0
2025-05-08,btc,103069.539295733,2047161802262.9502,371373.0,852697.0,2.2908345636251912,941486898.1215152,4142194123.299417,3899128062.6361065,51212677.33756734,6.49199029,4829046.061054062,0.4355275085991859,65.0
2025-05-09,btc,102940.802949445,2044649883878.203,335574.0,863281.0,2.2831068959043845,828982170.049213,3776486642.667232,4262793487.524592,45036601.290382184,6.85207179,4854509.514219991,0.3887193161902092,73.0
2025-05-10,btc,104582.821806254,2077313318157.5662,326973.0,664831.0,2.3179930154044754,888195187.0679705,1641707775.2054296,1957934792.9036212,49023197.721681565,4.39129382,4968623.437644096,0.4918137090478633,70.0
2025-05-11,btc,103976.137798948,2065311256125.5454,280245.0,615305.0,2.30314847924649,882273881.1027578,1842538173.3681743,1945912966.1234643,48413889.16263516,3.382963,5011740.123109313,0.45545704975581214,70.0
2025-05-12,btc,102920.074689071,2044380972696.5603,385997.0,758453.0,2.276547512358493,858588674.295255,3554453071.495471,3711563263.318292,46635658.843485296,13.32397413,4987839.2000017855,0.5089267232115899,70.0
2025-05-13,btc,104145.711825248,2068769059377.295,289432.0,808191.0,2.2970209363653464,769769161.5571295,2521105969.367707,2659957732.521175,42309195.429007,5.99850038,5112446.184117174,0.3581232654162197,70.0
2025-05-14,btc,103572.719642022,2057433647794.1636,325951.0,790244.0,2.2817352097814925,852667376.856716,2862329188.164461,2995109333.198588,46607723.8389099,7.14039545,5169640.028378441,0.4124688071026164,73.0
2025-05-15,btc,103716.283947399,2060332819995.9563,373943.0,754318.0,2.2793299047250057,864509980.2604675,3737969020.549975,4194867573.7257733,47320554.551000796,5.49743468,5262903.22464841,0.49573654612510903,70.0
2025-05-16,btc,103566.269191116,2057396779611.088,365949.0,829195.0,2.272925986368772,805296963.2417102,2545258090.732087,3067185593.660323,44015664.4062243,12.42293897,5326374.442208385,0.441330446999801,71.0
2025-05-17,btc,103190.041364991,2049968934871.8547,293931.0,740377.0,2.263971398372875,853949349.7167879,1707705947.226607,1845536816.3931248,46113049.73498035,7.03352172,5434991.000068831,0.39700179773277666,74.0
2025-05-18,btc,106015.689848919,2106156816753.2776,641273.0,601421.0,2.3240704676353836,979723251.299811,1778145176.476763,1822467031.0772228,53670442.986015245,5.94891823,5493841.675438425,1.0662630669697266,74.0
2025-05-19,btc,105615.828960257,2098259532017.2595,583361.0,718046.0,2.309462953385517,852722091.9971637,2879606907.8664536,3133097877.2797365,46536974.63561324,6.88530427,5400078.044057921,0.812428451659086,74.0
2025-05-20,btc,106893.330247516,2123688965537.7634,559405.0,739140.0,2.3328187609635207,895055811.7647127,3232293955.993766,3299875989.0992846,49438165.23947615,7.27756634,5442903.52626416,0.7568322645236356,71.0
2025-05-21,btc,109704.855619521,2179595937622.9268,424978.0,796779.0,2.387132485847717,870865112.2664987,3752365649.277916,4184263379.337786,49367185.02878445,7.90587525,5586203.460394077,0.5333699808855404,70.0
2025-05-22,btc,111477.014787843,2214857125536.5435,471085.0,868642.0,2.4191148692725477,907151161.5138198,4746590260.757859,4298015876.213874,52254850.68180141,8.10750052,5670992.412251526,0.5423235348970001,72.0
2025-05-23,btc,107291.888969901,2131757821570.904,445109.0,809410.0,2.325244185229265,937389531.5322618,3972815778.7031503,4131591472.670015,51969508.71979579,6.08910519,5428460.566477623,0.5499178413906426,78.0
2025-05-24,btc,107917.328289304,2144232082359.298,389251.0,644711.0,2.3375230632787902,852722091.9971637,1696431145.5040128,2013438762.6037915,47551072.777474575,5.13846292,5430966.9928488685,0.6037604446023102,66.0
2025-05-25,btc,108914.876558445,2164103972791.515,357724.0,625162.0,2.3575883785824456,913198832.0340477,1686320529.5446987,1787631884.4255133,51394207.37601624,4.14588679,5518720.026499587,0.5722100831464484,74.0
2025-05-26,btc,109371.985172122,2173238869041.109,352991.0,745729.0,2.3615409622706873,925294181.7831548,2394107155.1353426,2295257755.5351353,52293480.41042083,4.96133555,5577065.6363388365,0.47335023849146274,73.0
2025-05-27,btc,109066.345636762,2167213819846.428,424640.0,706571.0,2.3483230152239987,852722091.9971637,3542167241.6285787,3540402654.5743904,48057358.54619826,5.79600318,5582830.740674226,0.600987020412669,74.0
2025-05-28,btc,107895.402399474,2144001770511.488,540056.0,782052.0,2.319565765914059,991818601.048918,3116616838.83937,3220853906.0228796,55296393.72973043,7.99481868,5425530.299627778,0.6905627758767959,71.0
2025-05-29,btc,105732.957892168,2101084126510.3757,390670.0,765279.0,2.269515917375292,961580231.030476,2910835276.511071,3035136962.265483,52536063.45267098,5.34398452,5287992.558050763,0.510493558558382,74.0
2025-05-30,btc,103981.302957919,2066326288336.2883,389971.0,834229.0,2.2301710388100866,938712777.7441467,2855256527.2140584,3368869053.2115445,50365943.620242015,5.88312328,5195941.511369633,0.4674627710137145,60.0
2025-05-31,btc,104708.964150205,2080839122058.3977,300176.0,711975.0,2.2453195179282552,1016284108.9276667,1672584622.1248608,1607991385.251208,52681697.58807189,4.01331725,5274660.652408598,0.42161030935074967,50.0
2025-06-01,btc,105750.15972443,2101574335240.2615,254662.0,689965.0,2.2668244854256177,839539042.158194,1536403223.1650076,1470066664.0221922,43952410.13546622,3.46803334,5371571.331849832,0.3690940844825462,56.0
2025-06-02,btc,105899.696926651,2104590104579.1658,348163.0,771787.0,2.263174032245519,839539042.158194,2607577372.488457,3037960562.765769,44014561.53513932,4.72198068,5405757.338085955,0.4511128070309554,64.0
2025-06-03,btc,105483.98555114,2096375961866.664,360069.0,864048.0,2.249049850630191,908974603.1294426,2791396876.15712,4239120171.424015,47467793.498013,4.89837962,5372374.568816453,0.4167233764790845,64.0
2025-06-04,btc,104782.844900351,2082482835627.2385,332769.0,720304.0,2.2306295386760513,795352777.7382623,2535693422.717212,3506908180.8132324,41258245.17951321,4.61248281,5341792.759045662,0.4619841067105,62.0
2025-06-05,btc,101669.190496785,2020643792695.6504,321208.0,781431.0,2.1644219757163037,845851370.8408961,3043966250.0451803,3218066318.264228,42573973.52052872,4.95396644,5207099.038049982,0.4110510077025355,57.0
2025-06-06,btc,104421.051549094,2075379908381.1829,296656.0,781673.0,2.221377259248508,845851370.8408961,2820272229.3741302,2786704661.598758,43726315.336183116,4.3574863,5367376.043668692,0.37951419583380774,45.0
2025-06-07,btc,105685.250402104,2100553227975.266,290519.0,653737.0,2.246857184421021,902662283.5364864,1637505683.9762976,1507572358.0129619,47228096.27344023,3.27860352,5450832.940690118,0.44439736468946994,52.0
2025-06-08,btc,105727.739632379,2101448276113.1252,323313.0,611460.0,2.2465926766265145,965785515.8250327,1434899028.011811,1132591255.5334978,50551075.51173121,3.33871583,5431476.322268466,0.5287557648905897,62.0
