time,asset,PriceUSD,CapMrktCurUSD,TxCnt,AdrActCnt,CapMVRVCur,SplyCur,NVT_Tx_Basis,Activity_Velocity,FearGreedValue,ActiveStakeADA
2025-04-01,ada,0.67834814999224,24142803713.466312,28563.0,21454.0,1.068009814824926,35590579429.961586,740003.638699054,1.3313601193250675,34.0,21766071182.100258
2025-04-02,ada,0.6412834194656921,22824515563.118298,27751.0,20631.0,1.0140913703451846,35591931539.62308,719556.6101502447,1.345111725073918,44.0,21766071182.100258
2025-04-03,ada,0.6489483270617031,23097474236.070576,29378.0,21854.0,1.0270604856898113,35592162384.71701,740545.2541293532,1.3442847991214424,25.0,21766071182.100258
2025-04-04,ada,0.6599617437618571,23489977190.81308,29414.0,21544.0,1.0429429299573676,35592937640.47221,766486.0282028328,1.3652989231340513,28.0,21812491878.436516
2025-04-05,ada,0.6537899042997981,23271049904.327316,23580.0,18820.0,1.0336713194050446,35594079613.7719,768915.9799544789,1.252922422954304,30.0,21812491878.436516
2025-04-06,ada,0.570084212787988,20292126229.438774,32032.0,23767.0,0.9070827652200397,35594962593.68497,675776.7007115842,1.347751083435015,34.0,21812491878.436516
2025-04-07,ada,0.5858794791863691,20854921653.175785,47832.0,33808.0,0.9321857639214107,35595924407.759995,691018.7651563088,1.4148130619971604,23.0,21812491878.436516
2025-04-08,ada,0.557418138298021,19843037622.715485,36167.0,23458.0,0.8904176524744203,35598119722.66051,662498.5285130925,1.5417767925654362,24.0,21812491878.436516
2025-04-09,ada,0.633478994211743,22551647819.14498,35288.0,25645.0,1.0078967770843343,35599677377.158615,750963.4784599113,1.3760187170988496,18.0,21839712488.76893
2025-04-10,ada,0.608692403663283,21670516793.578144,31461.0,27047.0,0.971489117223412,35601753304.55719,720493.5733736121,1.1631973971235257,39.0,21839712488.76893
2025-04-11,ada,0.623716595241233,22206299912.390408,30375.0,22965.0,0.9948808382474106,35603189143.62338,736583.2016960909,1.3226649248856956,25.0,21839712488.76893
2025-04-12,ada,0.659050390379814,23464767115.42859,25158.0,18574.0,1.0536439603087389,35603904432.7183,782272.5196183261,1.3544739959082588,43.0,21839712488.76893
2025-04-13,ada,0.6366658996940181,22668353665.932552,24408.0,17530.0,1.0188004370815205,35604786869.890434,759952.5655423616,1.3923559612093555,45.0,21839712488.76893
2025-04-14,ada,0.6353512919525831,22622141828.190937,28815.0,22295.0,1.0174097895016048,35605722558.09508,757529.8788987177,1.292442251625925,31.0,21832860292.651207
2025-04-15,ada,0.608924468405775,21682064036.019634,28056.0,23869.0,0.9790370895886971,35607148605.45092,724647.1560790726,1.1754158113033641,38.0,21832860292.651207
2025-04-16,ada,0.61051739876731,21738955814.851376,26498.0,18773.0,0.9815972047793886,35607430449.556885,728482.4103784749,1.4114952325147818,29.0,21832860292.651207
2025-04-17,ada,0.6178514880206741,22000477790.15763,25504.0,18487.0,0.9927242714425524,35608035614.89759,738482.5928380896,1.3795640179585655,30.0,21832860292.651207
2025-04-18,ada,0.626993468865735,22326157488.495693,27431.0,19191.0,1.0072492260905268,35608277593.20192,754022.8060809365,1.4293679328852067,33.0,21832860292.651207
2025-04-19,ada,0.628358190164203,22375160740.434456,24362.0,19739.0,1.0096570208116498,35608926708.80499,757686.5639882747,1.234206393434318,32.0,21769745271.314167
2025-04-20,ada,0.620149741263791,22083484080.583767,24848.0,21316.0,0.9969789363098135,35609922267.451515,750359.5685437811,1.1656971289172453,37.0,21769745271.314167
2025-04-21,ada,0.621839039778714,22143969048.105762,30313.0,21744.0,1.0006860802902657,35610451630.67577,754977.2828355539,1.3940857247976453,39.0,21769745271.314167
2025-04-22,ada,0.681527395783432,24272348683.41798,32487.0,24015.0,1.1063672166785448,35614633884.99055,827252.2331503086,1.3527795128044973,47.0,21769745271.314167
2025-04-23,ada,0.6984358231100121,24874869675.3586,44666.0,25261.0,1.1278597120654192,35615111442.30142,837155.1610736325,1.7681801987253079,72.0,21769745271.314167
2025-04-24,ada,0.7212233425132251,25687926516.26563,38840.0,23660.0,1.1602253035859977,35617159071.35187,852407.0751936033,1.6415891800507185,63.0,21825006603.82678
2025-04-25,ada,0.713626199859627,25418193807.19282,41493.0,26650.0,1.1457521870728713,35618358479.821335,830426.346699165,1.5569606003752345,60.0,21825006603.82678
2025-04-26,ada,0.707463573616261,25199029003.83081,33510.0,21038.0,1.1358650670265122,35618835998.89646,815077.6838555754,1.5928320182526856,65.0,21825006603.82678
2025-04-27,ada,0.7048844034300791,25107542450.967476,32307.0,19663.0,1.1319096125555779,35619375785.292175,805295.8397075429,1.6430351421451457,61.0,21825006603.82678
2025-04-28,ada,0.704550972155929,25096039164.642838,35899.0,22612.0,1.132185286589021,35619905665.375565,801757.4547485491,1.5876083495489122,54.0,21825006603.82678
2025-04-29,ada,0.6941547046866959,24726909635.914356,35349.0,22890.0,1.116146766029178,35621612111.77666,783895.1812857945,1.5442988204456094,60.0,22049432187.784737
2025-04-30,ada,0.682358797922095,24309009106.959118,32063.0,24105.0,1.097618898936979,35624966192.2502,766902.7383681699,1.3301389753163244,56.0,22049432187.784737
